Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 2, estrofe 10, verso 3;De duas mãis: que vrdia a falsidade,;De duas mãis: que urdia a falsidade,
Canto 2, estrofe 10, verso 6;Com rosto humano, & habito fingido;Com rosto humano, & habito fingido,
Canto 2, estrofe 11, verso 2;Do alto & Sancto spirito a pintura,;Do alto & Sancto Spirito a pintura,
Canto 2, estrofe 11, verso 4;Sobre a vnica Fenix virgem pura,;Sobre a vnica Fenix Virgem pura,
Canto 2, estrofe 11, verso 7;Como os que, so das lingoas que cayrão,;Com os que, so das lingoas que cayrão,
Canto 2, estrofe 12, verso 2;Onde com este engano Baco estaua;Onde com este engano Baco estaua,
Canto 2, estrofe 12, verso 4;Naquelle Deos, que o mundo gouernaua;Naquelle Deos, que o mando gouernaua
Canto 2, estrofe 12, verso 7;O Thioneû, & assi por derradeiro;O Thioneu, & assi por derradeiro
Canto 2, estrofe 12, verso 8;O falso Deos adora o verdadeiro.;O falso Deos adora o Verdadeiro.
Canto 2, estrofe 13, verso 1;Aqui forão denoite agasalhados,;Aqui foram denoite agasalhados,
Canto 2, estrofe 13, verso 2;Com todo o bom, & honesto tratamento;Com todo o bom,& honesto tratamento
Canto 2, estrofe 13, verso 5;Mas assi como os rayos espalhados,;Mas assi como os rayos espalhados
Canto 2, estrofe 13, verso 6;Do Sol forão no mundo, & num momento,;Do Sol foram no mundo, & num momento,
Canto 2, estrofe 14, verso 1;Tornão da terra os Mouros co recado;Tornam da terra os Mouros co recado,
Canto 2, estrofe 14, verso 3;Os dous que o Capitão tinha mandado,;Os dous que o Capitam tinha mandado,
Canto 2, estrofe 14, verso 4;A quem se o Rei mostrou sincêro amigo:;A quem se o Rei mostrou sincero o amigo:
Canto 2, estrofe 14, verso 6;De não auer receio de perigo.;De nam auer receyo de perigo.
Canto 2, estrofe 14, verso 8;Dentro no salso rio entrar queria.;Dentro no salso rio entrar queria
Canto 2, estrofe 15, verso 1;Dizem lhe os que mandou, que em terra vîrão,;Dizem lhe os que mandou, que em terra virão,
Canto 2, estrofe 15, verso 3;Que ali se agasalhàrão, & dormirão,;Que ali se agasalhárão, & dormirão,
Canto 2, estrofe 15, verso 5;E que no Rei, & gentes não sentirão;E que no Rei, & gentes nam sentirão
Canto 2, estrofe 15, verso 6;Senão contentamento, & gosto tanto:;Senam contentamento, & gosto tanto:
Canto 2, estrofe 15, verso 7;Que não podia certo auer sospeita,;Que nam podia certo auer sospeita
Canto 2, estrofe 15, verso 8;Nũa mostra tão clara, & tão perfeita.;Nũa mostra tam clara, & tam perfeita.
Canto 2, estrofe 16, verso 2;Alegremente os Mouros que subião,;Alegremente os Mouros que subiam,
Canto 2, estrofe 16, verso 4;De mostras que tão certas parecião:;De mostras que tão certas pareciam:
Canto 2, estrofe 16, verso 6;Dtixando a bordo os barcos que trazião:;Deixando a bordo os barcos que traziam:
Canto 2, estrofe 17, verso 1;Na terra cautamente aparelhauão,;Na terra cautamente aparelhauam,
Canto 2, estrofe 17, verso 3;Que no Rio os nauios ancorauão;Que no Rio os nauios ancorauam
Canto 2, estrofe 17, verso 4;Nelles ousadamente se subissem:;Nelles ousadamente se sobissem:
Canto 2, estrofe 17, verso 5;E nesta treição determinauão,;E nesta treiçam determinauam,
Canto 2, estrofe 17, verso 6;Que os de Luso de todo destruissem:;Que os Luso de todo destruissem:
Canto 2, estrofe 17, verso 8;O mal que em Moçambique tinhão feito.;O mal que em Moçambique tinham feito.
Canto 2, estrofe 18, verso 4;Inclinão pera a barra abalisada:;Inclinam per a a barra abalisada:
Canto 2, estrofe 18, verso 8;Voa do Ceo ao Mar como hũa seta.;Voa do ceo ao mar como hũa seta.
Canto 2, estrofe 19, verso 1;Conuoca as aluas filhas de Nerêo,;Conuoca as aluas filhas de Nerèo,
Canto 2, estrofe 19, verso 3;Que porque no salgado Mar nasceo,;Que porque no salgado mar nasceo,
Canto 2, estrofe 19, verso 5;E propondo lhe a causa a que deceo,;E propondolhe a causa a que deceo,
Canto 2, estrofe 19, verso 7;Pera estoruar que a armada não chegasse;Pera estoruar que a armada nam chegasse,
Canto 2, estrofe 20, verso 3;Cloto co peito corta, & atrauessa;Cloto co peito corta,& atrauessa
Canto 2, estrofe 20, verso 4;Com mais furor o Mar do que costuma.;Com mais furor o mar do que costuma.
Canto 2, estrofe 20, verso 5;Salta Nise, Nerine se arremessa,;Salta Nife, Nerine se arremessa,
Canto 2, estrofe 20, verso 6;Por cima da agoa crespa, em força suma:;Por cima da agoa crespa, em força suma.
Canto 2, estrofe 21, verso 3;Não sente quem a leua o doçe peso,;Nam sente quem a leua o doçe peso,
Canto 2, estrofe 21, verso 5;Ia chegão perto donde o vento teso,;la chegão perto donde o vento teso.
Canto 2, estrofe 22, verso 1;Poem se a Deosa com outras em dereito;Poemse a Deosa com outras em direito
Canto 2, estrofe 22, verso 3;O caminho da barra estão de geito,;O caminhu da barra estão de geito,
Canto 2, estrofe 23, verso 1;Quaes pera a coua as próuidas formigas,;Quaes pera a coua as pròuidas formigas,
Canto 2, estrofe 23, verso 3;As forças exercitão, de inimigas,;As forças exercitam, de inimigas,
Canto 2, estrofe 23, verso 4;Do inimigo Inuerno congelado:;Do inimigo lnuerno congelado:
Canto 2, estrofe 23, verso 6;Ali mostrão vigor nunca esperado.;Ali mostram vigor nunca esperado.
Canto 2, estrofe 24, verso 4;O leme a hum bordo, & a outro atrauessando;O leme a hũ bordo, & a outro atrauessando,
Canto 2, estrofe 24, verso 7;Os estaua hum maritimo penedo,;O estaua hum maritimo penedo,
Canto 2, estrofe 24, verso 8;Que de quebrarlhe a Nao lhe mete medo:;Que de quebrarlhe a Nao lhe mete medo.
Canto 2, estrofe 25, verso 3;O grande estrondo, a Maura gente espanta,;O grande estrondo a Maura gente espanta,
Canto 2, estrofe 25, verso 5;Nam sabem a razão de furia tanta,;Nam sabem a razam de furia tanta,
Canto 2, estrofe 25, verso 6;Nam sabem nesta pressa quem lhe valha,;Nam sabem nesta pressa quem lhe valha:
Canto 2, estrofe 26, verso 5;De hum bordo & doutro subito saltauão,;De hum bordo & doutro subito faltauão,
Canto 2, estrofe 27, verso 7;E acolhendo se ao couto que conhecem,;E acolhendose ao couto que conhecem,
Canto 2, estrofe 28, verso 2;Que ao perigo grande as naos guiâra,;Que ao perigo grande as naos guiàra,
Canto 2, estrofe 28, verso 3;Crendo que seu engano estauta noto,;Crendo que seu engano estaua noto,
Canto 2, estrofe 28, verso 6;Onde percão a vida doçe, & cara:;Onde perção a vida doçe, & cara:
Canto 2, estrofe 29, verso 2;Dos Mouros não cuidada, & juntamente,;Dos Mouros, não cuidada, & juntamente,
Canto 2, estrofe 29, verso 3;O Piloto fugir lhe com presteza,;O Piloto fogirlhe com presteza,
Canto 2, estrofe 29, verso 6;Dos ventos, ou das, agoas sem corrente,;Dos ventos, ou das agoas sem corrente,
Canto 2, estrofe 30, verso 1;O caso grande, estranho, & não cuydado,;O caso grande, estranho, &não cuydado,
Canto 2, estrofe 30, verso 2;O milagre clarissino, & euidente,;O milagre clarissimo, &euidente,
Canto 2, estrofe 30, verso 6;Liurarse sem perigo sabiamente.;Liuarse sem perigo sabiamente.
Canto 2, estrofe 30, verso 8;Não acuir aa fraca força humana?;Não acudir aa fraca força humana?
Canto 2, estrofe 31, verso 2;Destes portos, a pouca segurança,;Destes portos a pouca segurança,
Canto 2, estrofe 31, verso 4;Que era enganada a nossa confiança;Que era enganada a nossa confiança:
Canto 2, estrofe 31, verso 6;Enganos tam fingidos nam alcança:;Enganos tão fingidos não alcança:
Canto 2, estrofe 31, verso 8;De quem sem ti nam pôde ser guardado.;De quem sem ti não pòde ser guardado.
Canto 2, estrofe 32, verso 6;Conduzirnos ja agora determina,;Conduzirmos ja agora determina,
Canto 2, estrofe 33, verso 6;Ia na terceyra Esphera recebida;Ia na terceyra Esphera recebida:
Canto 2, estrofe 33, verso 7;Auante possa, & la no sexto Ceo;Auante passa, & la no sexto ceo,
Canto 2, estrofe 34, verso 1;E como hia afrontada do caminho;E como hia afrontada do caminho,
Canto 2, estrofe 34, verso 2;Tão fermosa no gesto se mostraua,;Tam fermosa no gesto se mostraua,
Canto 2, estrofe 34, verso 3;Queas Estrellas, & o Ceo, & o Ar vizinho,;Que as Estrellas, & o Ceo, & o Ar vizinho
Canto 2, estrofe 35, verso 3;Se lhapresenta assi como ao Troyano,;Se lhapresenta assim como ao Troyano,
Canto 2, estrofe 35, verso 4;Na selua Idea ja se apresentàra:;Na selua Ide a ja se apresentàra:
Canto 2, estrofe 35, verso 8;Que primeiro desejos o acabárão.;Que primeiro desejos o acabàrão.
Canto 2, estrofe 36, verso 1;Os crespos fios douro se esparzião;Os crespos fios douro se esparziam
Canto 2, estrofe 36, verso 3;Andando as lacteas tetas lhe tremião,;Andando as lacteas tetas lhe tremiam,
Canto 2, estrofe 36, verso 4;Com quem Amor brincaua, & não se via.;Com quem Amor brincaua, & nam se via.
Canto 2, estrofe 36, verso 5;Da alua petrina flamas lhe saião,;Da alua petrina flmas lhe saiam,
Canto 2, estrofe 36, verso 6;Onde o minino as almas acendia.;Onde o Minino as almas acendia.
Canto 2, estrofe 37, verso 4;O veo dos roxos lirios pouco auaro:;O véu dos roxos lirios pouco auaro:
Canto 2, estrofe 37, verso 5;Mas pera que o desejo acenda, & dobre,;Mas pera que o desejo acenda,& dobre,
Canto 2, estrofe 37, verso 7;Ia se sentem no Ceo, por toda a parte,;Ia se sentem no ceo, por toda a parte,
Canto 2, estrofe 37, verso 8;Ciumes em Vulcano, Amor em Marte:;Ciumes em Vulcano, Amor em Marte,
Canto 2, estrofe 38, verso 1;E mostrando no angelico sembrante,;E mostrando no angelico sembante,
Canto 2, estrofe 38, verso 2;Co riso hũa trifteza misturada,;Co riso hũa tristeza misturada,
Canto 2, estrofe 38, verso 3;Como dama que foi do incauto amante,;Como dama que foi do incautp amante,
Canto 2, estrofe 38, verso 5;Que se aqueixa, & se ri, num mesmo instãte,;Que se aqueixa, & se ri, nũ mesmo instãte,
Canto 2, estrofe 39, verso 1;Sempre eu cuidey, ô Padre poderoso,;Sempre eu cuidey, ò Padre poderoso,
Canto 2, estrofe 39, verso 3;Te achasse brando, affabil, & amoroso,;Te achasse brando, affabil, & amoroso.
Canto 2, estrofe 39, verso 6;Sem que to merecesse, nem te errasse:;Sem que to merecesse, nem te errasse.
Canto 2, estrofe 40, verso 7;Ora pois por que o amo he mal tratado,;Ora pois porque o amo he mal tratado,
Canto 2, estrofe 40, verso 8;Quero lhe querer mal, sera guardado.;Querolhe querer mal, fera guardado.
Canto 2, estrofe 41, verso 1;Mas moura em fim nas mãos das brutas gentes,;Mas moura em fim nas mãos das rutas gentes,
Canto 2, estrofe 41, verso 2;Que pois eu fuy: & nisto de mimosa;Que pois eu fuy: & misto mimosa
Canto 2, estrofe 41, verso 4;Como co orualho fica a fresca rosa.;Como co orualho fica a fresca rosa
Canto 2, estrofe 41, verso 6;Lhe impedîra a falla piedosa.;Lhe impedîra a falla piadosa.
Canto 2, estrofe 41, verso 8;Llhe atalha o poderoso, & grão Tonante.;Lhe atalha poderoso, & gram Tonante.
Canto 2, estrofe 42, verso 2;Que mouerão de hum Tigre o peito duro,;Que moueram de hum Tigre o peito duro,
Canto 2, estrofe 42, verso 6;Na façe a beija, & abraça o colo puro.;Na façe a beija, & abraça o colo puro:
Canto 2, estrofe 42, verso 7;De modo que dali, se so se achára,;De modo que dali, se só se achàra,
Canto 2, estrofe 42, verso 8;Outro nouo Cupido se gerára.;Outro nouo Cupido se geràra.
Canto 2, estrofe 43, verso 2;Que os saluços, & lagrimas aumenta,;Que os saluçõs, & lagrimas aumenta,
Canto 2, estrofe 43, verso 8;Desta maneira em fim lhe està dizendo.;Desta maneira em fim lhe está dizendo.
Canto 2, estrofe 44, verso 1;Fermosa filha minha não temais;Fermosa filha minha, nam temais
Canto 2, estrofe 45, verso 1;Que se o facundo Vlisses escapou,;Que se o facundo Vlysses escapou,
Canto 2, estrofe 45, verso 2;De ser na Ogigia llha, eterno escrauo:;De ser na Ogigi Ilha, eterno escrauo:
Canto 2, estrofe 45, verso 6;De Scila, & de Caribdis o Mar brauo.;De Scila, & de Caribdis o mar brauo
Canto 2, estrofe 45, verso 7;Os vossos môres cousas atentando,;Os vossos mòres cousas atentando,
Canto 2, estrofe 46, verso 1;Fortalezas, Cidades, & altos muros,;Fortalezas, cidades, & altos muros,
Canto 2, estrofe 46, verso 3;Os Turcos belacissimos & duros,;Os Turcos belacissimos e duros,
Canto 2, estrofe 46, verso 8;Serão dadas na terra leis milhores.;Seram dadas na terra leis milhores.
Canto 2, estrofe 47, verso 5;O caso nunca visto, & milagroso;O caso nunca visto, & milagroso,
Canto 2, estrofe 47, verso 6;Que trema, & ferua o Mar em calma estãdo?;Que trema, & ferua o Mar em calma estãdo
Canto 2, estrofe 48, verso 1;Vereis a terra que a agoa lhe tolhia,;Vereis a terra que a agoa lhe a tolhia,
Canto 2, estrofe 48, verso 4;As naos que nauegarem do Occidente.;As naos que nauegarem de Occidente:
Canto 2, estrofe 48, verso 5;Toda esta costa em fim, que agora vrdia,;Toda esta costa em fim, que agora urdia,
Canto 2, estrofe 48, verso 8;Não poder resistir ao Luso horrendo:;Nam poder resistir ao Luso horrendo.
Canto 2, estrofe 49, verso 2;Tornar selhe amarello de infiado:;Tornarlhe amarello de infiado:
Canto 2, estrofe 50, verso 2;Que dous cercos terà, dos vossos sendo.;Que dous cercos terà, dos vossos sendo,
Canto 2, estrofe 50, verso 3;Ali se mostrarà seu preço, & sorte,;Ali se mostrarà seu preço, & forte,
Canto 2, estrofe 50, verso 4;Feitos de armas grandissimos fazendo.;Feitos de armas grandissimos fazendo:
Canto 2, estrofe 50, verso 5;Enuejoso vereis o grão Mauorte,;Enuejoso vereis o gram Mauorte,
Canto 2, estrofe 50, verso 6;Do peito Lusitano, fero & horrendo.;Do peito Lufitano, fero e horendo.
Canto 2, estrofe 50, verso 7;Do Mouro ali verão que a voz extrema,;Do Mouro ali veram que a voz extrema
Canto 2, estrofe 51, verso 2;A qual virá despois a ser senhora,;A qual virà despois a ser senhora,
Canto 2, estrofe 51, verso 6;Ao Gentio que os Idolos alora.;Ao Gentio que os Idolos adora.
Canto 2, estrofe 52, verso 1;Vereis a fortaleza sustentarse,;Vereis a fortaleza sostentarse,
Canto 2, estrofe 52, verso 2;De Cananor, com pouca força & gente:;De cananor, com pouca força & gente:
Canto 2, estrofe 53, verso 4;O Capitão venceo Romano injusto,;O Capitam venceo Romano injusto,
Canto 2, estrofe 53, verso 8;Preso da Egipcia linda & não pudica.;Preso da Egipcia linda, & nam pudica.
Canto 2, estrofe 54, verso 1;Como vereis o mar feruendo aceso;Como vereis o mar feruendo aceso,
Canto 2, estrofe 54, verso 5;E sogeita a rica Aurea Chersoneso,;E sogeita a rica Aureo Cheisoneso,
Canto 2, estrofe 54, verso 6;Ate o longico China navegando.;Ate o longico China nauegando.
Canto 2, estrofe 54, verso 7;E as Ilhas mais remotas do Oriente,;E as llhas mais remotas do Oriente,
Canto 2, estrofe 55, verso 4;Do Gangetico mar ao Gaditano,;Do Gantico mar ao Gaditano,
Canto 2, estrofe 56, verso 2;Filho de Maia aa terra, porque tenha,;Filho de Maria aa terra, porque tenha
Canto 2, estrofe 56, verso 4;Pera onde sem receyo a frota venha:;Pera onde sem receyo a frota venha.
Canto 2, estrofe 56, verso 6;O forte Capitão se não detenha,;O forte Capitam se nam detenha,
Canto 2, estrofe 56, verso 7;Lhe mãda mais, que em sonhos lhe mostrasse;Lhe manda mais, q̃ em sonhos lhe mostrasse
Canto 2, estrofe 56, verso 8;A terra, onde quieto repousasse.;A terra, onde quieto repousosse.
Canto 2, estrofe 57, verso 1;Ia pelo ar o Cylenêo voaua,;la pelo ar o Cylenèo voaua,
Canto 2, estrofe 57, verso 2;Com as asas nos pês aa terra deçe,;Com as asas nos pès aa terra deçe,
Canto 2, estrofe 57, verso 6;Do Inferno, & o vento lhe obedeçe.;Do Inferno, & o vento lhe obedece.
Canto 2, estrofe 57, verso 7;Na cabeça o galêro costumado,;Na cabeça o galèro costumado,
Canto 2, estrofe 58, verso 2;Do Lusitano, o preço grande, & raro,;Do Lusitano, o preço grande & raro,
Canto 2, estrofe 58, verso 4;E faz a quem o tem, amado & caro.;E faz a quemo tem, amado & caro.
Canto 2, estrofe 58, verso 8;De ver da gente forte o gesto, & modo.;De ver da gente forte o gesto & modo.
Canto 2, estrofe 59, verso 1;Dali pera Mombaça logo parte,;Dali pera Mombaça logo parte.
Canto 2, estrofe 59, verso 2;Aonde as naos estauão temerosas,;Aonde as nãos estauão temerosas,
Canto 2, estrofe 59, verso 5;Porque muy pouco val esforço, & arte,;Porque muy pouco val esforço & arte,
Canto 2, estrofe 59, verso 7;Pouco val coração, astucia, & siso,;Pouco val coraçam, astucia, & siso,
Canto 2, estrofe 60, verso 3;Tinhão o largo Mundo alumiado,;Tinham o largo Mundo alumiado,
Canto 2, estrofe 60, verso 5;O Capitão illustre, ja cansado,;O Capitam illustre, ja cansado,
Canto 2, estrofe 60, verso 6;"De vigiar a noite; que arreceia,";De vigiar a noite que arreceia,
Canto 2, estrofe 60, verso 7;Breue repouso antam aos olhos daua,;Breue repouso entam aos olhos daua,
Canto 2, estrofe 61, verso 1;Quando Mercurio em sonhos lhe apareçe,;Quando Mercurio em sonhos lhe aparece,
Canto 2, estrofe 61, verso 5;Fuge, que o Vento, & o Ceo te fauoreçe,;Fuge, que o vento, & o Ceo te fauorece,
Canto 2, estrofe 62, verso 1;Não tens aqui se não aparelhado,;Nam tens aqui senão aparelhado,
Canto 2, estrofe 62, verso 7;Teràs certas aqui, se muito esperas,;Teras certas aqui, se muito esperas,
Canto 2, estrofe 63, verso 2;E outra terra acharàs de mais verdade;E outras terra acharas de mais verdade,
Canto 2, estrofe 63, verso 4;lguala o dia, & noite em quantidade:;Iguala o dia, & noite em quantidade:
Canto 2, estrofe 63, verso 5;Ali tua frota alegre recebendo;Ali tua frota alegre recedendo
Canto 2, estrofe 63, verso 6;Hum Rei, com muitas obras de amizade,;Hum Rei, com muitas obras de amizades,
Canto 2, estrofe 64, verso 2;Ao Capitão, que com muy grande espanto;Ao Capitam, que com muy grande espanto
Canto 2, estrofe 64, verso 6;Não se deter na terra iniqua tanto.;Nam se deter na terra iniqua tanto.
Canto 2, estrofe 65, verso 2;Que o Ceo nos fauoreçe, & Deos o manda,;Que o Ceo nos fauorece, & Deos o manda,
Canto 2, estrofe 65, verso 5;Alevantase nisto o mouimento,;Aleuantase nisto o mouimento
Canto 2, estrofe 65, verso 6;Dos marinheiros, de hũa & de outra banda,;Dos marinheiros, de hũa & de outra banda
Canto 2, estrofe 65, verso 7;Leuão gritando as ancoras acima,;Leuam gritando as ancoras acima
Canto 2, estrofe 65, verso 8;Mostrando a ruda força, que se estima.;Mostrando a ruda força que se estima.
Canto 2, estrofe 66, verso 1;Neste tempo, que as ancoras leuauão,;Neste tempo, que as ancoras leuauam,
Canto 2, estrofe 66, verso 3;Mansamente as amarras lhe cortauão,;Mansamente as amarras lhe cortauam,
Canto 2, estrofe 66, verso 4;Por serem, dando aa costa, destruydos:;Por serem dando aa costa, destruydos:
